#RA DEC Morph 
5.322920 23.090830 S 
5.333750 17.340830 S 
5.379580 29.661940 S 
5.463750 22.399720 S 
5.513330 22.408050 S 
5.520830 23.736670 S 
5.563330 20.608330 IRR 
5.556670 10.491110 S 
5.610000 29.503610 S 
5.637500 28.120280 DWARF 
5.707500 6.963890 S  
5.737920 16.252780 S 
5.795420 27.431940 S 
5.782920 35.147220 S 
5.815000 20.265830 DWARF 
5.950830 14.683610 S 
5.985830 24.305830 S 
5.972500 28.332500 S 
5.997500 15.770560 S 
6.010830 16.486110 S 
6.161250 33.255830 S 
6.178330 14.824440 S 
6.193330 29.559720 S 
6.263750 31.344170 S 
6.292500 6.490560 S 
6.320420 12.883610 S 
6.370420 20.237220 S 
6.375000 24.810830 S 
6.458750 5.415000 S 
6.499170 29.211670 LENT 
6.495830 14.347780 S 
6.529580 25.725280 S 
6.542920 13.653610 IRR 
6.529170 16.436670 S 
6.604170 1.020000 S 
6.610420 6.282220 S 
6.702920 31.703060 S 
6.762080 11.583890 S 
6.821670 24.169170 S 
6.809580 20.071670 S 
6.897920 8.877220 S 
6.988750 32.775000 S  
7.027920 25.996390 S 
6.994170 2.507220 S 
7.057500 3.233330 S 
7.088330 27.368890 S 
7.063750 30.802500 S 
7.092080 2.526670 S 
7.077080 3.383610 S 
7.090000 3.389170 S 
7.143330 33.271950 S 
7.209170 2.838330 LENT 
7.227080 10.174170 S 
7.285000 15.898890 S 
7.302500 33.103890 S 
7.347080 31.381940 S 
7.433750 21.475560 S 
7.472500 31.393050 S 
7.517500 3.512780 DWARF 
7.544580 2.093060 S  
7.608750 25.142220 DWARF 
7.642500 13.365830 S 
7.718750 10.671390 LENT 
7.824170 28.993060 S 
7.835420 30.792220 S 
7.849580 8.466670 S 
7.858330 6.206390 S 
7.899580 14.611950 S 
7.930000 0.900560 S 
8.050420 31.681390 S 
8.128750 2.573890 S 
8.135000 23.394440 S 
8.210420 11.736110 S 
8.267080 22.201390 S  
8.314170 7.904720 S 
8.400830 2.680560 S 
8.478330 31.450000 DWARF 
8.603330 24.603610 S 
8.602500 12.267500 S 
8.636250 3.601940 S 
8.703750 28.410000 S 
8.733330 31.948610 S 
8.863330 2.935000 IRR 
8.850830 3.395830 S 
8.902080 9.123610 S 
8.944170 24.237220 IRR 
8.914170 8.997220 S 
8.991250 24.037500 S 
8.982500 31.870560 S 
9.016670 23.958610 S 
9.042080 21.464170 S 
9.054170 1.711940 S 
9.044170 4.635000 S 
9.142080 32.746390 DWARF 
9.187920 21.566390 S 
9.214580 23.991390 S 
9.302080 1.941670 S 
9.294170 13.052500 S 
9.338330 29.148890 S 
9.391670 9.556390 S 
9.416250 10.357500 S  
9.475420 32.688890 S 
9.447080 4.023890 IRR 
9.490420 5.147780 S 
9.490420 8.634440 S 
9.552080 2.728060 S 
9.592080 32.637780 S 
9.602920 13.485560 S 
9.598750 15.039170 LENT 
9.632500 30.289440 S 
9.665830 17.402500 IRR 
9.727920 7.062780 S  
9.738750 25.639170 S 
9.771250 6.020830 S 
9.826250 29.658050 S 
9.805830 0.863610 S  
9.827920 3.952220 LENT 
9.825420 13.099440 S 
9.839170 13.113330 IRR 
9.852080 4.568610 IRR 
9.845830 2.797500 S 
9.888330 3.138610 LENT 
9.887080 3.933060 IRR 
9.866250 4.175000 DWARF 
9.906670 8.965280 S 
9.895000 0.860000 S 
9.895000 2.887220 S 
10.045000 22.715280 S 
10.265420 31.733060 S 
10.291670 16.468610 S 
10.322080 3.503330 DWARF 
10.365830 25.500000 S 
10.420000 10.826390 S 
10.465830 32.990830 S 
10.532500 33.406110 S 
10.615000 33.185830 DWARF 
10.592080 29.641390 S 
10.593330 29.698330 S 
10.565830 0.845560 S 
10.665420 29.875000 S 
10.722080 33.522780 S 
10.727080 23.503610 S 
10.725420 32.580830 S 
10.865830 -0.125280 S 
10.864580 2.957780 S 
10.885000 14.342500 S 
10.961670 32.853330 S 
10.966250 0.801670 S 
11.018750 28.874720 S 
10.983750 1.849720 S 
11.015420 26.207500 S 
11.052080 26.845830 IRR 
11.227500 16.937220 DWARF 
11.306670 10.502500 S 
11.554170 19.489170 S 
11.607500 30.238060 S 
11.617500 31.808610 S 
11.621670 8.432780 S 
11.709580 26.476110 S 
11.733750 32.675280 S 
11.785000 30.341390 S 
11.816670 7.909720 LENT 
11.830420 14.703060 S 
11.827500 27.827220 S 
11.975000 19.596670 S 
12.005830 27.624720 LENT 
12.006250 8.296670 S 
12.099580 4.091390 S 
12.144170 27.693330 IRR 
12.196250 31.956950 LENT 
12.200420 11.369720 S 
12.258330 28.217500 S 
12.325420 4.531390 IRR 
12.356670 12.180560 S 
12.398330 1.115000 S 
12.449580 32.277500 S 
12.440830 31.601110 S 
12.493330 21.719720 S 
12.540830 31.730830 S 
12.511250 7.918330 IRR 
12.594170 11.710000 S 
12.676250 12.095830 IRR  
12.706250 30.163890 S 
12.800830 12.024720 IRR 
12.895830 29.401110 S 
12.893750 29.716390 S 
12.932080 3.171670 FAINT 
12.957500 3.105000 IRR 
13.019170 2.430280 S 
13.116670 14.518050 S 
13.125830 24.351110 S 
13.131250 26.132500 S 
13.146250 29.207220 S 
13.128330 6.020000 DWARF 
13.242920 29.032220 S 
13.288750 21.926390 S 
13.361250 29.270000 S 
13.362500 5.770280 S 
13.386250 2.924170 S 
13.425420 18.096670 IRR 
13.595420 31.665000 S 
13.678330 21.522220 S 
13.694580 28.716390 S 
13.709580 29.246390 S 
13.695830 31.365560 S 
13.705830 10.537220 S 
13.698750 13.658060 S 
13.746250 30.804720 S 
13.781250 31.542220 S 
13.808750 35.433890 S 
13.840420 31.676940 S 
13.826670 31.729720 S 
13.806250 9.448330 S 
13.994170 12.123330 S 
14.008330 14.230000 S 
14.063750 4.409440 DWARF 
14.038750 31.074170 S 
14.117920 11.857500 S 
14.255830 7.329170 S 
14.272080 14.908330 S 
14.331670 23.890280 S 
14.454170 30.352780 E 
14.458330 31.484170 LENT 
14.605830 11.557500 S 
14.687080 12.748060 S 
14.703750 0.586940 S 
14.752920 23.853060 S 
14.900830 35.560550 S 
14.917080 15.330830 S 
14.912920 18.843060 S 
14.955830 18.008050 S 
14.925420 0.916390 S 
14.952920 14.723610 S 
15.135420 30.796670 S 
15.152080 30.668610 S 
15.252920 13.467780 S 
15.216670 19.475830 DWARF 
15.257080 29.601390 S 
15.255000 29.947220 S 
15.260420 9.724720 S 
15.338330 31.507220 S 
15.354580 7.625830 DWARF 
15.442080 3.081670 S 
15.565000 9.098330 S 
15.773330 24.971940 S 
15.825420 14.037220 IRR 
15.818750 22.342220 S 
15.897500 6.416110 S 
15.960830 22.026950 S 
15.953330 31.198330 S 
15.936250 2.282780 S 
15.996250 32.963050 DWARF 
16.078330 18.696390 PEC 
16.089170 6.646390 DWARF 
16.240420 5.652780 IRR 
16.192090 2.117500 E 
16.329170 31.681670 S 
16.540420 31.405830 S 
16.585830 21.373330 DWARF 
16.530000 0.775830 DWARF 
16.607080 14.570830 S 
16.558330 3.574170 S 
16.765420 32.389450 S 
16.809170 13.954720 S 
16.798750 10.836390 S 
16.843330 16.683890 IRR 
16.885830 32.092500 S 
16.904580 32.939170 S 
16.943750 1.063610 DWARF 
17.017080 21.120280 E 
16.983750 2.545280 S 
17.057500 21.098060 DWARF 
17.104580 6.483610 S 
17.144170 16.900000 S 
17.167080 1.356670 FAINT 
17.185420 33.464170 S 
17.155000 1.640560 S 
17.308330 32.151390 S 
17.341670 14.342220 S 
17.374580 1.811670 S 
17.440000 13.308060 S 
17.483330 20.771670 S 
17.497500 32.368330 S 
17.684580 33.558330 S 
17.662500 16.596940 S 
17.712080 0.198060 S 
17.770420 33.835560 S 
17.822500 31.740000 IRR 
17.847920 1.278060 S 
17.931670 35.276110 S 
17.878750 1.321110 IRR 
18.040420 32.123050 LENT 
18.180000 32.969440 S 
18.140420 0.292780 S 
18.232080 0.980830 S 
18.302080 34.965560 S 
18.290420 2.287220 COMPACT 
18.321250 12.770560 IRR 
18.354580 2.631670 S 
18.414590 0.875000 IRR 
18.470830 19.176940 S 
18.499580 2.071110 IRR 
18.560420 15.897780 LENT 
18.655830 1.180830 S  
18.660840 1.829170 S 
18.781670 33.377220 S 
18.799580 30.194720 S 
18.760830 6.857780 S 
18.830420 28.489440 S 
18.840000 7.355280 S 
18.845000 8.099170 S 
18.907080 33.067500 S 
18.874170 6.883610 S 
18.908750 9.306390 S 
18.966250 33.810550 S 
18.957080 31.080280 S 
19.027080 1.567220 S 
19.015000 4.293890 LENT 
19.002080 6.636940 IRR 
19.062080 31.033610 S 
19.150000 1.201670 IRR 
19.246670 13.024440 S 
19.440000 21.415830 S 
19.440420 10.196670 S 
19.534160 17.561940 S 
19.537080 11.381390 S 
19.600000 4.751940 S 
19.667500 31.035830 S 
19.691250 14.993060 S 
19.750420 12.939440 S 
19.742500 16.325560 S 
19.792080 33.030000 S 
19.736250 5.556110 S 
19.821670 21.762220 S 
19.768750 -0.138890 S 
19.850420 12.446940 IRR 
19.875000 21.150280 S 
19.887920 19.711670 S 
19.909160 17.564440 S 
19.880410 3.908060 S 
19.904580 8.172500 S 
19.972920 32.466950 S 
19.937080 3.409440 S 
19.979580 16.544170 LENT 
19.997080 12.924720 S 
19.998330 14.786110 S 
20.027920 3.415280 LENT 
20.082920 30.759170 S 
20.100000 5.827220 DWARF 
20.159580 29.698890 S 
20.167080 30.393610 S 
20.191250 1.445280 S 
20.190830 4.180000 IRR 
20.243750 29.231390 S 
20.262500 33.898330 LENT 
20.231250 6.574170 IRR 
20.253750 17.073330 S 
20.244580 25.548610 S 
20.260000 2.959720 S 
20.285420 5.140830 S 
20.276250 5.428330 DWARF 
20.294170 17.868330 S 
20.283330 1.372780 S 
20.329580 12.411670 DWARF 
20.315830 3.861940 S 
20.338750 0.090000 S 
20.365000 7.017780 S 
20.370000 15.946940 S 
20.383330 19.874720 S 
20.404170 20.919440 S 
20.450000 17.592220 S 
20.457920 18.267220 S 
20.446670 23.780830 S 
20.445000 5.256110 S 
20.474580 9.206670 S 
20.492920 15.794720 S 
20.541250 32.215560 S 
20.562500 34.668890 S 
20.539590 0.946390 S 
20.678330 19.031940 LENT 
20.697500 19.308890 S 
20.730420 33.173890 S 
20.726250 13.126940 S 
20.798330 33.528890 S 
20.848330 15.214440 S 
20.868330 30.784170 S 
20.877920 11.290560 E 
20.906250 32.630000 S 
20.907920 34.569160 S 
20.885000 6.960280 IRR 
20.932080 6.691390 S 
20.944170 11.508890 S 
20.999170 33.907780 S 
21.016250 12.917220 S 
21.017080 27.046110 DWARF 
21.036250 9.930000 S 
21.062500 1.048610 PEC 
21.124580 15.766670 S 
21.101670 3.882500 DWARF 
21.142920 16.536390 S 
21.158330 -0.063060 S 
21.140420 1.730830 S 
21.145830 7.720830 S 
21.147080 3.792500 IRR 
21.190830 9.994720 S 
21.202500 1.036390 S 
21.315420 34.359170 S 
21.305000 14.872220 S 
21.336250 34.024720 S 
21.287920 2.302780 S 
21.321670 9.263610 S 
21.342500 14.838610 LENT 
21.348330 14.519720 S 
21.381250 32.135830 S 
21.373330 7.561110 IRR 
21.350000 10.796940 DWARF 
21.397500 7.991670 IRR 
21.401670 18.062500 S 
21.414580 0.129440 S 
21.484580 16.601390 S 
21.512080 11.443060 S 
21.520830 0.315830 IRR 
21.590840 34.703060 S 
21.598340 6.276940 IRR 
21.622500 0.548610 IRR 
21.661670 10.287220 IRR 
21.683330 17.264170 S 
21.702920 12.023890 LENT 
21.805000 13.603060 DWARF 
21.790000 14.776110 S 
21.838750 11.975280 S 
21.895830 31.554720 S 
22.003750 32.032780 S 
22.078330 34.308060 S 
22.053750 10.432500 IRR 
22.069580 28.988060 DWARF 
22.090420 2.512500 S 
22.202920 34.345550 S 
22.196670 16.687780 COMPACT 
22.221670 13.793330 S 
22.296250 11.140280 S 
22.336670 32.064450 S 
22.483750 32.500830 S 
22.531250 25.863330 DWARF 
22.520000 33.311390 DWARF 
22.510830 2.852220 IRR 
22.583330 17.021390 S 
22.694170 21.440000 S 
22.730000 17.188330 S 
22.742500 14.108060 S 
22.842080 23.953890 DWARF 
22.827920 7.787500 DWARF 
22.895000 34.782500 S 
22.860830 14.276940 S 
22.944580 33.615550 S 
22.899580 8.422500 DWARF 
22.992080 33.475830 S 
23.055830 32.102500 S 
23.065000 12.467500 S 
23.067080 21.410550 S 
23.139170 35.358060 S 
23.122920 4.601390 IRR 
23.166250 11.829170 S 
23.177080 18.316670 IRR 
23.166250 4.641110 DWARF 
23.280830 0.175280 DWARF 
23.323750 13.332220 S 
23.380000 35.668060 LENT 
23.327920 3.070560 S 
23.367920 17.407220 S 
23.377920 19.029170 S 
23.392500 12.584720 S 
23.462080 30.660000 S 
23.424170 3.542220 S 
23.460000 17.230560 IRR 
23.703750 34.035280 S 
23.708750 21.418050 S 
23.742500 1.335560 S 
23.819170 34.471950 S 
23.761670 4.381110 DWARF 
23.803330 5.506390 DWARF 
23.844580 4.870560 IRR 
23.880830 11.952220 S 
24.000420 0.663330 S 
24.019170 11.689170 S 
24.100420 10.535830 S 
24.173750 15.783060 S 
24.234580 31.985000 S 
24.196250 5.835000 E 
24.320830 28.890000 S 
24.280420 4.884440 S 
24.337500 14.462780 S 
24.323330 5.877220 S 
24.417500 32.654720 S 
24.404170 0.039440 S 
24.514580 32.493890 S 
24.577500 35.364720 S 
24.630830 28.723060 S 
24.586670 7.533890 S 
24.907500 7.237220 S 
24.936250 15.899440 DWARF 
24.910000 5.782500 S 
24.985830 11.096670 S 
25.042920 15.905000 DWARF 
25.036250 5.726390 S 
25.116250 34.625550 S 
25.125000 14.522500 S 
25.180000 7.981940 S 
25.352080 8.524720 S 
25.485000 22.689720 S 
25.479170 7.121390 S 
25.540830 12.601670 S 
25.612500 13.976670 IRR 
25.637920 18.305000 IRR 
25.676250 8.174450 S 
25.701250 13.155550 S 
25.757080 13.643330 S 
25.739580 4.200000 S 
25.799580 4.278060 S 
25.809170 8.889170 S 
25.937500 12.163330 IRR 
25.940830 4.222500 S 
25.979580 13.806110 S 
26.034170 34.386950 S 
25.990830 2.349720 LENT 
26.072500 12.254440 S 
26.085830 17.476950 S 
26.128330 4.668330 S 
26.291670 32.123050 S 
26.257500 10.365830 S 
26.314170 32.061110 S 
26.340000 28.721670 IRR 
26.385420 25.520830 IRR 
26.422080 28.805560 S 
26.465830 35.110550 S 
26.398330 3.357500 S 
26.478750 9.822500 S 
26.542080 6.431940 IRR 
26.585830 4.263890 IRR 
26.653750 14.691670 IRR 
26.706250 24.464720 S 
26.752500 12.405280 IRR 
26.746250 13.125000 S 
26.818330 35.562780 S  
26.874580 27.332780 S 
26.854170 27.885830 LENT 
26.876250 36.034440 S 
26.856250 16.346110 S 
26.874580 12.103610 S 
26.905000 11.343330 IRR 
26.974580 27.431940 S 
27.045830 35.398330 PEC 
27.093330 11.521110 S 
27.137920 12.613330 S 
27.139580 13.430560 S 
27.142920 13.701110 IRR 
27.138750 10.570830 S 
27.157920 13.768330 S 
27.193750 20.265280 S 
27.222500 10.521110 LENT 
27.218750 10.589440 S 
27.274170 34.982780 E 
27.238750 5.906940 S 
27.308330 13.055280 E 
27.312920 20.711110 S 
27.357500 35.451950 LENT 
27.338330 12.714170 S 
27.353330 13.368610 S 
27.353330 21.996390 S 
27.381660 32.587780 S 
27.502080 30.051670 S 
27.447080 21.970560 E 
27.436670 22.374440 IRR 
27.444580 11.700560 S 
27.515420 16.438060 S 
27.512920 11.811940 S 
27.552080 27.195830 S 
27.558330 27.645830 S 
27.554580 23.158050 IRR 
27.544170 2.309440 IRR 
27.637080 35.359170 DWARF 
27.684160 35.284160 S 
27.628330 6.144720 S 
27.673330 21.759450 S 
27.695420 32.546390 LENT 
27.721670 18.302220 S 
27.743750 21.996390 PEC 
27.755420 29.801390 DWARF 
27.758750 13.296110 S 
27.785830 21.912500 S 
27.764170 12.591670 S 
27.809580 22.582220 S 
27.823330 34.848330 S 
27.823330 22.357780 S 
27.871250 36.065830 S 
27.874580 13.131670 S 
27.940830 11.901390 DWARF 
27.901250 19.103330 S 
27.950420 30.543050 E 
27.966670 17.052220 S 
27.947080 18.187220 S 
28.030830 35.037500 IRR 
27.960420 6.296110 S 
28.004170 17.534440 IRR 
27.980420 8.831110 S 
28.090830 35.796110 S 
28.126670 31.985000 S 
28.115420 17.511940 LENT 
28.225000 36.053050 S 
28.248330 12.707780 S 
28.342080 19.953330 S 
28.426250 29.933050 S 
28.461250 14.763890 S 
28.515000 14.909440 S 
28.556250 18.101390 S 
28.630000 17.673610 S 
28.644580 16.865830 S 
28.636250 20.064720 S 
28.656250 17.075000 S 
28.695830 20.697780 S 
28.670830 -0.143330 E 
28.670830 6.034170 S 
28.698330 18.142220 IRR 
28.748330 13.482780 S 
28.815840 10.013060 S 
28.852920 21.285550 E 
28.842080 6.611670 S 
28.902920 21.317500 LENT 
28.987920 1.284720 S 
29.037080 17.640560 S 
29.046670 6.744170 LENT 
29.063340 13.165560 DWARF 
29.066670 3.761390 LENT 
29.070000 4.646670 S 
29.157920 34.176940 S 
29.178330 17.710560 IRR 
29.160840 10.311110 IRR 
29.180830 15.014440 S 
29.228750 33.015000 S 
29.278330 32.788610 S 
29.290830 14.549720 S 
29.361250 17.220560 S 
29.340420 5.609720 S 
29.426670 35.915000 S 
29.391250 3.714170 S 
29.499580 4.394720 S 
29.512080 3.369720 COMPACT 
29.535420 2.064170 S 
29.527920 3.087220 IRR 
29.625420 25.360000 S 
29.628750 22.115280 S 
29.690830 24.642780 DWARF 
29.645830 3.257220 IRR 
29.700420 24.891940 S 
29.670420 0.528890 S 
29.778750 36.062500 S 
29.790000 25.385560 S 
29.781250 1.890000 DWARF 
29.831670 19.007780 S 
29.900420 30.910000 S 
29.879170 13.943330 S 
29.928330 32.081110 IRR 
29.977080 23.644170 S 
29.995000 34.342500 DWARF 
29.965420 7.411390 S 
30.062080 24.252220 S 
30.079580 24.473890 S 
30.092500 22.882780 DWARF 
30.106250 15.963060 S 
30.098750 21.107780 S 
30.097500 24.580560 S 
30.146670 28.224720 S 
30.137080 32.466950 S 
30.134580 21.287220 S 
30.180000 29.652220 DWARF 
30.196250 17.713610 S 
30.277500 31.881940 S 
30.245410 8.310830 S 
30.300830 19.675000 S 
30.321250 28.837220 IRR 
30.307090 30.357780 DWARF 
30.332920 33.329720 E 
30.352920 15.646110 S 
30.378330 26.480830 S 
30.442910 26.546110 S 
30.499580 21.096110 COMPACT 
30.500830 11.728060 DWARF 
30.570000 19.179720 IRR 
30.608330 32.072220 PEC 
30.580000 19.658050 S 
30.549170 -0.130280 S 
30.550830 -0.100830 S 
30.629170 11.092780 S 
30.635000 16.014170 LENT 
30.643330 17.167500 S 
30.700420 26.581110 S 
30.729170 7.523610 S 
30.837080 23.760560 DWARF 
30.831670 33.630550 DWARF 
30.771660 2.613890 S 
30.834170 18.629440 S 
30.834170 22.040830 IRR 
30.906670 24.075280 S 
30.898330 4.785280 S 
30.936670 16.030830 S 
30.957500 14.739170 S 
30.979580 11.962780 DWARF 
30.995830 15.317780 S 
30.984580 19.668330 S 
31.020830 24.207780 IRR 
31.020420 2.786110 S 
31.133330 27.925280 IRR 
31.205830 35.653060 S 
31.187500 21.434440 S 
31.232500 28.987500 E 
31.182910 8.543330 S 
31.219580 1.894440 S 
31.292500 24.666110 DWARF 
31.312080 30.004720 S 
31.361250 31.175000 S 
31.313330 6.105280 S 
31.307920 9.925830 S 
31.390000 34.880830 IRR 
31.361250 13.326940 S 
31.405420 6.771940 S 
31.492500 14.919170 S 
31.512920 9.295560 S 
31.525000 13.285000 S 
31.580830 9.226940 S 
31.613750 27.033050 S 
31.626670 29.992780 LENT 
31.652920 1.515560 S 
31.755420 8.130000 S 
31.800830 8.977780 S 
31.852500 30.425280 IRR 
31.868750 9.168330 S 
31.890410 17.201940 PEC 
31.929580 15.365830 LENT 
31.906250 2.180280 E 
31.965000 2.677500 S 
31.988330 16.219440 S 
31.985000 19.170560 S 
31.971250 2.167220 LENT 
32.016670 28.332500 S 
32.104170 14.349170 S 
32.102500 14.971940 S 
32.143750 29.233330 S 
32.115420 6.394440 S 
32.134580 6.323330 S 
32.237080 26.035550 S 
32.234170 7.970830 S 
32.292500 31.993330 IRR 
32.213750 2.719170 S 
32.273330 30.318890 DWARF 
32.332920 34.262500 S 
32.269170 5.111940 S 
32.259170 6.158330 S 
32.308750 25.570560 S 
32.300830 6.600000 IRR 
32.385830 21.246940 S 
32.436670 7.317220 PEC 
32.475000 10.960560 S 
32.487080 16.032500 S 
32.536670 7.645000 S 
32.567500 7.844720 S 
32.594170 1.200830 DWARF 
32.670000 35.136950 IRR 
32.657090 5.869720 S 
32.682920 6.758610 DWARF 
32.741670 32.698890 S 
32.807500 25.810550 S 
32.765830 6.666670 IRR 
32.783340 3.852500 S 
32.800420 3.779440 LENT 
32.895840 31.508890 S 
32.855420 15.898610 S 
32.849590 15.954720 LENT 
32.910420 34.044720 S 
32.912920 14.298060 LENT 
33.000840 14.016110 DWARF 
32.989580 29.313330 S 
33.013750 14.103890 DWARF 
33.010830 9.516110 IRR 
33.117920 29.857220 IRR 
33.129170 16.855280 S 
33.176670 13.968890 S 
33.297080 9.510560 S 
33.391250 25.855280 S 
33.367920 4.005830 FAINT 
33.406670 13.727780 S 
33.440410 24.890560 DWARF 
33.450830 33.599170 IRR 
33.401250 10.335280 IRR 
33.437500 4.101940 E 
33.453330 16.796940 S 
33.515000 27.876670 E 
33.517920 16.455560 S 
33.523330 5.173060 PEC 
33.572080 7.588610 S 
33.607920 1.469720 IRR 
33.711250 31.470280 S 
33.767920 32.724720 S 
33.829580 32.696670 S 
33.845000 18.676390 S 
33.835830 22.005560 S 
33.865000 6.002220 S 
33.962920 35.913330 S 
33.934170 25.206390 S 
33.908330 1.661670 S 
33.941670 15.395000 S 
34.053330 32.648890 S 
33.974580 1.781670 S 
34.063330 28.600000 S 
34.097500 31.999170 S 
34.134170 28.205830 IRR 
34.259170 30.943050 S 
34.217080 11.793610 S 
34.224170 2.203060 S 
34.294580 14.548060 S 
34.269580 1.244170 LENT 
34.359170 14.580000 DWARF 
34.408330 12.508890 S 
34.463330 32.395560 S 
34.498750 35.763050 IRR 
34.471660 14.521110 S 
34.498330 14.543890 S 
34.563330 13.203890 S 
34.609170 5.653610 S 
34.678750 35.462780 S 
34.683750 30.502220 S 
34.713750 33.724170 IRR 
34.737920 4.815000 S 
34.973340 28.247780 DWARF 
34.969580 29.035830 S 
35.077080 35.896670 S 
35.082920 8.037780 S 
35.121250 6.810280 IRR 
35.246250 32.840000 S 
35.251660 33.362220 DWARF 
35.276250 23.600560 S 
35.326670 13.717500 S 
35.355420 25.422780 S 
35.349170 16.565830 S 
35.385000 31.041670 IRR 
35.385000 32.544450 S 
35.379580 14.198060 S 
35.378750 15.310000 S 
35.400420 16.379440 DWARF 
35.442910 33.020830 S 
35.413330 6.760280 DWARF 
35.451660 16.873890 S 
35.515830 32.234720 S 
35.520830 33.945000 S 
35.552500 28.734170 S 
35.595420 33.746940 IRR 
35.597920 28.715560 S 
35.555420 12.030000 S 
35.670420 28.256390 S 
35.884170 26.511390 LENT 
35.914160 27.158890 IRR 
35.897500 2.528060 IRR 
35.981250 27.492220 S 
35.993750 27.116670 DWARF 
36.075840 33.608610 S 
36.131670 31.615000 S 
36.142080 33.168060 IRR 
36.175830 25.560830 S 
36.172080 30.815560 DWARF 
36.121670 1.840830 S 
36.250420 36.037780 DWARF 
36.252500 19.701940 S 
36.269170 22.216670 S 
36.262920 17.082500 E 
36.345420 11.089720 S 
36.396670 26.743330 COMPACT 
36.375000 11.471110 IRR 
36.462090 18.496110 S 
36.532090 31.911940 S 
36.552090 27.602780 S 
36.570000 27.211670 S 
36.596250 28.507220 S 
36.586670 30.445280 LENT 
36.557500 12.461940 S 
36.607500 22.995830 S 
36.609170 27.653610 PEC 
36.640420 27.823890 S 
36.637500 29.830280 S 
36.655420 12.155000 S 
36.725840 32.095830 S 
36.738330 35.181670 S 
36.695000 20.497500 LENT 
36.819580 33.579170 S 
36.909170 36.151110 S 
36.943330 26.588890 S 
36.941250 28.208890 S 
36.856670 2.105000 IRR 
36.957500 31.725560 S 
36.978340 20.332220 S 
36.963750 0.501670 S 
37.060830 31.310830 S 
